term,series,date,title,journal_page,unit,col,char_pos,engine_agreement,context_left,match,context_right,grade,verified
人乃天,64,1920-10-15,布德天下는 活誠에 在하니라,10,unit_4_p4,11,20,claude_only,업서吾敎의宗旨는人乃天이라然이나,人乃天,은비히道의軆質뿐이오道의活用은안,C단독,
人乃天,64,1920-10-15,布德天下는 活誠에 在하니라,10,unit_4_p4,11,44,claude_only,軆質뿐이오道의活用은안이니吾人은,人乃天,에基礎하야事人如天主義를徹底實行,C단독,
人乃天,65,1920-11-15,拘束의 宗敎로부터 自由의 宗敎,8,unit_8_p8,04,77,both,ᆫ點이無ᄒᆞ다ᄒᆞ면吾人을不可不,人乃天,의宗敎를信仰치안이치못할것이오人,합의,
人乃天,65,1920-11-15,拘束의 宗敎로부터 自由의 宗敎,8,unit_8_p8,04,95,both,天의宗敎를信仰치안이치못할것이오,人乃天,의宗敎가또ᄒᆞᆫ人世의最後眞理가,합의,
人乃天,65,1920-11-15,拘束의 宗敎로부터 自由의 宗敎,8,unit_8_p8,04,126,both,後眞理가되지안이치못할지니何者오,人乃天,의宗敎ᄂᆞᆫ自己의自由意志를絶對,합의,
人乃天,118,1920-11-15,實在論으로 觀한 人乃天主義,36,unit_12_p6l,,344,gemini_only,後眞理가되야나타나나니이곳에論의,人乃天,主義와符節을合ᄒᆞ과가튼所以라,G단독,
人乃天,66,1921-02-15,布德天下,7,unit_7_p7,04,28,both,이라한一句에歸着케할지라大神師는,人乃天,主義의宗旨를세,합의,
人乃天,66,1921-02-15,布德天下,8,unit_8_p8,07,8,both,大神師의此簡單한,人乃天,主義의宣言은實로德의原理를說함에,합의,
人乃天,85,1921-04-15,사람性의 無窮을 論하노라,,unit_1_p1,05,8,both,우리의中에아즉도,人乃天,에對한疑雲이未霽한者ㅣ잇다하면,합의,
人乃天,119,1921-04-15,質疑者에게 答함,54,unit_3_p2u,15,8,both,代思潮가如何하며,人乃天,主義가如何하거니修,합의,
人乃天,68,1921-06-15,사람性의 無窮을 論하노라(續),4,unit_4_p4,,547,gemini_only,으로實現코저하는意味이니그림으로,人乃天,은그의理想이며「한울되기를ᄒᆞ야,G단독,
人乃天,68,1921-06-15,사람性의 無窮을 論하노라(續),4,unit_4_p4,04,10,both,얼는生覺하면우리敎의,人乃天,은사람이곳한울이라는意味로부터이,합의,
人乃天,68,1921-06-15,사람性의 無窮을 論하노라(續),4,unit_4_p4,05,21,both,울되기爲함이라」·하는말은오히려,人乃天,보다도第二岸에써러진못한말이지만,합의,
人乃天,68,1921-06-15,사람性의 無窮을 論하노라(續),4,unit_4_p4,07,1,both,「,人乃天,이라함은우리敎의理想的말이오한울,합의,
人乃天,68,1921-06-15,사람性의 無窮을 論하노라(續),4,unit_4_p4,07,29,both,想的말이오한울되기爲하야란말은그,人乃天,의理想을實踐하야가는意味임으,합의,
人乃天,68,1921-06-15,사람性의 無窮을 論하노라(續),4,unit_4_p4,08,8,both,로써라世人이或은,人乃天,이라하면문득여러가지疑問을가지게,합의,
人乃天,68,1921-06-15,사람性의 無窮을 論하노라(續),4,unit_4_p4,08,32,both,득여러가지疑問을가지게되는所以는,人乃天,은天道敎의理想으로生覺,합의,
人乃天,68,1921-06-15,사람性의 無窮을 論하노라(續),4,unit_4_p4,10,7,both,을그쌘만으로곳,人乃天,이라把得코저하는結果는現實의人의,합의,
人乃天,68,1921-06-15,사람性의 無窮을 論하노라(續),4,unit_4_p4,11,7,both,드러亦是그로써,人乃天,의中에包容코저하나니이는實로人乃,합의,
人乃天,68,1921-06-15,사람性의 無窮을 論하노라(續),4,unit_4_p4,11,24,both,乃天의中에包容코저하나니이는實로,人乃天,을誤解함이大한者라하리라故로人乃,합의,
人乃天,68,1921-06-15,사람性의 無窮을 論하노라(續),4,unit_4_p4,11,41,both,乃天을誤解함이大한者라하리라故로,人乃天,이라함,합의,
人乃天,69,1921-07-15,新文化는 무엇에 依하야 建設되랴,3,unit_3_p3,,884,gemini_only,的으로된것인以上은吾人은大神師의,人乃天,主義를偶然又는單境으로,G단독,
人乃天,69,1921-07-15,新文化는 무엇에 依하야 建設되랴,3,unit_3_p3,15,4,both,想中樞인,人乃天,主義가그의가장히잇는神秘力을가젓,합의,
